batter_name,age,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,GB,SO,GDP,BU,fly,year
윤해진,25.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
윤해진,26.0,28.0,38.0,35.0,4.0,6.0,1.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,1.0,2015
윤해진,27.0,34.0,34.0,30.0,5.0,5.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,2016
윤해진,30.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019
이우성,22.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2016
이우성,23.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017
이우성,24.0,71.0,199.0,177.0,24.0,40.0,9.0,0.0,4.0,61.0,24.0,1.0,2.0,16.0,4.0,0.0,57.0,6.0,1.0,1.0,2018
이우성,25.0,60.0,168.0,151.0,19.0,33.0,4.0,0.0,6.0,55.0,22.0,0.0,0.0,12.0,2.0,0.0,40.0,3.0,1.0,2.0,2019
유재신,21.0,54.0,97.0,93.0,19.0,24.0,2.0,1.0,0.0,28.0,7.0,7.0,2.0,1.0,1.0,0.0,19.0,2.0,2.0,0.0,2008
유재신,22.0,9.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009
유재신,25.0,58.0,96.0,85.0,14.0,20.0,2.0,2.0,0.0,26.0,7.0,5.0,2.0,6.0,0.0,0.0,20.0,0.0,4.0,1.0,2012
유재신,26.0,75.0,23.0,20.0,22.0,4.0,0.0,0.0,0.0,4.0,2.0,7.0,8.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,2013
유재신,27.0,23.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
유재신,28.0,62.0,32.0,27.0,21.0,7.0,2.0,0.0,0.0,9.0,3.0,10.0,1.0,3.0,0.0,0.0,10.0,2.0,2.0,0.0,2015
유재신,29.0,93.0,74.0,62.0,20.0,16.0,0.0,0.0,0.0,16.0,6.0,16.0,7.0,10.0,0.0,0.0,12.0,0.0,2.0,0.0,2016
유재신,30.0,25.0,20.0,18.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,2017
유재신,31.0,46.0,40.0,33.0,19.0,14.0,3.0,1.0,1.0,22.0,8.0,4.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,2018
유재신,32.0,71.0,59.0,51.0,17.0,13.0,2.0,1.0,0.0,17.0,6.0,4.0,3.0,6.0,0.0,0.0,12.0,1.0,1.0,1.0,2019
이인행,24.0,20.0,33.0,30.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,2015
이인행,26.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017
이인행,27.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
이인행,28.0,9.0,20.0,16.0,1.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,1.0,0.0,2019
문선재,20.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2010
문선재,23.0,93.0,240.0,217.0,31.0,58.0,10.0,1.0,4.0,82.0,25.0,8.0,5.0,13.0,3.0,0.0,71.0,1.0,6.0,1.0,2013
문선재,24.0,22.0,24.0,20.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,2014
문선재,25.0,103.0,245.0,212.0,27.0,48.0,13.0,1.0,5.0,78.0,27.0,9.0,6.0,23.0,3.0,0.0,54.0,4.0,6.0,1.0,2015
문선재,26.0,52.0,127.0,111.0,28.0,32.0,3.0,2.0,7.0,60.0,16.0,5.0,0.0,10.0,0.0,0.0,29.0,1.0,5.0,1.0,2016
문선재,27.0,35.0,107.0,92.0,17.0,24.0,6.0,1.0,2.0,38.0,14.0,0.0,3.0,10.0,1.0,0.0,24.0,0.0,2.0,2.0,2017
문선재,28.0,2.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2018
문선재,29.0,29.0,61.0,49.0,7.0,8.0,0.0,0.0,3.0,17.0,6.0,2.0,1.0,9.0,1.0,0.0,18.0,0.0,0.0,2.0,2019
나지완,23.0,73.0,239.0,200.0,25.0,59.0,12.0,1.0,6.0,91.0,30.0,1.0,2.0,28.0,6.0,1.0,44.0,2.0,1.0,4.0,2008
나지완,24.0,128.0,457.0,384.0,58.0,101.0,12.0,0.0,23.0,182.0,73.0,4.0,1.0,58.0,8.0,3.0,90.0,9.0,3.0,4.0,2009
나지완,25.0,109.0,384.0,316.0,42.0,68.0,11.0,0.0,15.0,124.0,53.0,3.0,2.0,45.0,18.0,1.0,82.0,9.0,2.0,3.0,2010
나지완,26.0,85.0,331.0,291.0,41.0,88.0,9.0,0.0,18.0,151.0,66.0,0.0,1.0,35.0,4.0,0.0,63.0,4.0,0.0,1.0,2011
나지완,27.0,124.0,480.0,398.0,40.0,109.0,17.0,1.0,11.0,161.0,56.0,7.0,3.0,56.0,13.0,4.0,93.0,9.0,8.0,5.0,2012
나지완,28.0,125.0,522.0,435.0,57.0,125.0,18.0,0.0,21.0,206.0,96.0,7.0,3.0,62.0,18.0,1.0,111.0,12.0,1.0,5.0,2013
나지완,29.0,118.0,470.0,398.0,64.0,124.0,22.0,0.0,19.0,203.0,79.0,3.0,3.0,54.0,12.0,4.0,97.0,9.0,0.0,6.0,2014
나지완,30.0,116.0,368.0,304.0,34.0,77.0,16.0,0.0,7.0,114.0,31.0,3.0,1.0,46.0,16.0,3.0,79.0,10.0,0.0,2.0,2015
나지완,31.0,118.0,486.0,380.0,84.0,117.0,21.0,2.0,25.0,217.0,90.0,6.0,3.0,85.0,17.0,1.0,90.0,8.0,0.0,4.0,2016
나지완,32.0,137.0,551.0,459.0,85.0,138.0,20.0,3.0,27.0,245.0,94.0,1.0,1.0,62.0,23.0,0.0,105.0,10.0,0.0,7.0,2017
나지완,33.0,114.0,379.0,317.0,50.0,86.0,18.0,0.0,26.0,182.0,78.0,0.0,0.0,38.0,19.0,2.0,81.0,14.0,0.0,5.0,2018
나지완,34.0,56.0,153.0,129.0,12.0,24.0,5.0,0.0,6.0,47.0,17.0,0.0,0.0,19.0,3.0,1.0,37.0,3.0,0.0,2.0,2019
최형우,19.0,4.0,6.0,5.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2002
최형우,21.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2004
